     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[build] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[dependency] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[environment] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.936 | DOC[20251214-0030.adoc] KEY[Updated] VALUE[2025-12-14 00:30:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.936 | DOC[20251214-0030.adoc] targets to RESOURCE[20251214-0030.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] Title[App development with GTK, Python and Libadwaita]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] has 8 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] HASH[9174610a74cffc5d9b671548a1162a6754bee933077c31e015127499011f4a79]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] KEY[Title] VALUE[App development with GTK, Python and Libadwaita] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.936 | DOC[20251226-PyGTK4.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Category] VALUE[Bookmark] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Topic] VALUE[Development] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Topic] VALUE[Documentation] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Product] VALUE[GTK] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Product] VALUE[Libadwaita] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Product] VALUE[PyGObject] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Product] VALUE[GNOME] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Product] VALUE[MiAZ] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Tag] VALUE[api] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Tag] VALUE[documentation] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Programming Language] VALUE[Python] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.937 | DOC[20251226-PyGTK4.adoc] KEY[Updated] VALUE[2025-12-28 18:40:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.938 | DOC[20251226-PyGTK4.adoc] targets to RESOURCE[20251226-PyGTK4.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] Title[KB4IT incremental compiling doesn't work (yet) in Github]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] has 7 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] HASH[812a0be48a5e512293de11826de20c88015dba27f6258bc1326e2dd292dd2515]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] KEY[Title] VALUE[KB4IT incremental compiling doesn't work (yet) in Github] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.938 | DOC[20251228-KB4IT-incremental-compiling.adoc] KEY[Category] VALUE[Post] added
